artist_clean,macro_genre,sub_genre,energy_level,mood
zapravka,electronic,experimental ambient,low,"calm, melancholic"
ancestral elephants,other,experimental rock,medium,"calm, psychedelic, melancholic"
lo canhoto robertinho,other,brazilian music,medium,"happy, calm"
ame,electronic,ambient house,low,"calm, melancholic"
xinobi,electronic,house music,medium,"happy, energetic"
moonclipse,electronic,ambient techno,low,"calm, melancholic, psychedelic"
pacific rain,electronic,ambient chill,low,"calm, melancholic"
september,pop,synth pop,medium,"happy, energetic"
lo delibes,other,classical ballet,low,"calm, melancholic"
french montana,hip_hop,trap rap,medium,"energetic, happy"
peter graham,other,classical crossover,medium,"calm, melancholic"
college,electronic,chillwave synthpop,medium,"calm, happy, melancholic"
awaken i am,rock,post-hardcore,high,"aggressive, energetic, melancholic"
audiotec,electronic,ambient techno,low,"calm, melancholic"
wah,electronic,experimental ambient,low,"calm, melancholic"
shinkeials,electronic,synth pop,medium,"happy, energetic"
ty burhoe,other,experimental ambient,low,"calm, melancholic"
topic,electronic,experimental pop,medium,"calm, psychedelic, energetic"
jimi jules,electronic,deep house,medium,"calm, happy, energetic"
vanessa carlton,pop,piano pop,medium,"calm, melancholic, happy"
pique novo,electronic,experimental ambient,low,"calm, melancholic"
sheila chandra,other,world music,low,"calm, melancholic"
brennan heart,electronic,hardstyle,very_high,"energetic, happy"
mc luiggi,hip_hop,trap rap,high,"energetic, happy"
shashikant vyas,other,experimental fusion,medium,"calm, psychedelic, energetic"
true north,rock,indie rock,medium,"calm, melancholic, energetic"
kell smith,pop,indie pop,medium,"calm, happy, melancholic"
